Date,Open,High,Low,Close,Volume,Ticker,Return,MA_5,MA_20,Volatility_20,Target
2016-10-04,25.855195111686786,26.141052130858036,25.756860227302564,25.841474533081055,118947200,AAPL,0.004265862169289036,25.82775459289551,25.513999462127686,0.017051044145232265,0.0004425622999069123
2016-10-05,25.932950616498402,25.99240936842364,25.770584029658572,25.8529109954834,85812400,AAPL,0.0004425622999069123,25.786591720581054,25.567626190185546,0.017035499151242153,0.007430444393177638
2016-10-06,26.00155877943059,26.147917461887886,25.87120802334415,26.04500961303711,115117200,AAPL,0.007430444393177638,25.86480255126953,25.66333122253418,0.015684008450773668,0.0014927038906968892
2016-10-07,26.14105851802293,26.198229935826134,25.9581110278926,26.083887100219727,97433600,AAPL,0.0014927038906968892,25.910997772216795,25.788308334350585,0.01440687624294645,0.01744693362984484
2016-10-10,26.303423257158567,26.6990502077917,26.234818607533,26.538970947265625,144944000,AAPL,0.01744693362984484,26.072450637817383,25.909626007080078,0.014134734133118236,0.0021542232377254056
2016-10-11,26.91630032966746,27.142700379565017,26.57327185437994,26.596141815185547,256164000,AAPL,0.0021542232377254056,26.22338409423828,26.005102252960206,0.013421700730598521,0.00894245985273412
2016-10-12,26.83626409092157,26.980337185370352,26.69905303242109,26.83397674560547,150347200,AAPL,0.00894245985273412,26.419597244262697,26.0687912940979,0.01127956729600151,-0.0030680092562712646
2016-10-13,26.708199021907344,26.856845053088335,26.46350543017242,26.751649856567383,140769600,AAPL,-0.0030680092562712646,26.56092529296875,26.084913635253905,0.008544298707507659,0.005556423414978751
2016-10-14,26.957464764778777,27.023783815035245,26.78595052110163,26.900293350219727,142608800,AAPL,0.005556423414978751,26.72420654296875,26.115900897979735,0.008478277052443813,-0.0006801148168812388
2016-10-17,26.83168694146113,26.948315363311753,26.70590913977948,26.88199806213379,94499600,AAPL,-0.0006801148168812388,26.792811965942384,26.161295032501222,0.007940110033537704,-0.0006806486404872247
2016-10-18,27.026067452403673,27.03292774205229,26.85912617711156,26.86370086669922,98214000,AAPL,-0.0006806486404872247,26.846323776245118,26.20588846206665,0.007948430435256679,-0.0029792004098743163
2016-10-19,26.813397029526055,26.930027219416495,26.024432100537815,26.783668518066406,80138400,AAPL,-0.0029792004098743163,26.836262130737303,26.246709156036378,0.008008105643067143,-0.0005125920465198774
2016-10-20,26.724202994273142,26.843118754782015,26.602999888927684,26.769939422607422,96503200,AAPL,-0.0005125920465198774,26.839920043945312,26.27460870742798,0.007801428446807768,-0.003929845321299585
2016-10-21,26.712761462807777,26.735631416098357,26.5915583871906,26.664737701416016,92770800,AAPL,-0.003929845321299585,26.79280891418457,26.31908760070801,0.0067217846357407055,0.00900572117228604
2016-10-24,26.779095061672642,26.925453769769426,26.756226840670035,26.90487289428711,94154800,AAPL,0.00900572117228604,26.797383880615236,26.37362947463989,0.00691565874923758,0.005099567542720784
2016-10-25,26.973469723024884,27.06723167005647,26.827111057437026,27.042076110839844,192516000,AAPL,0.005099567542720784,26.83305892944336,26.432630348205567,0.006947747471472343,-0.022494688187957634
2016-10-26,26.141055692416426,26.458928601464468,25.912370045922412,26.433773040771484,264536800,AAPL,-0.022494688187957634,26.763079833984374,26.45138273239136,0.008753527817131112,-0.009602919710135938
2016-10-27,26.38803465627076,26.495517181324974,26.09302998476012,26.179931640625,138248000,AAPL,-0.009602919710135938,26.645078277587892,26.47768154144287,0.00825939426529487,-0.006638727117585064
2016-10-28,26.040433412078734,26.34687131993518,25.944384121128103,26.00613021850586,151446800,AAPL,-0.006638727117585064,26.51335678100586,26.485342502593994,0.008271276279670484,-0.001582652851525479
2016-10-31,25.990127105986986,26.122765215168037,25.88721750621552,25.9649715423584,105677600,AAPL,-0.001582652851525479,26.325376510620117,26.49700574874878,0.00820099937218175,-0.018055518928316472
2016-11-01,25.94667147935056,26.01756346663362,25.276622510848522,25.49616050720215,175303200,AAPL,-0.018055518928316472,26.016193389892578,26.479740047454833,0.009125852827588174,0.0008969629015695979
2016-11-02,25.475580532320077,25.692831191466432,25.43670439242786,25.51902961730957,113326800,AAPL,0.0008969629015695979,25.833244705200194,26.46304597854614,0.009129235734479647,-0.01071885486565427
2016-11-03,25.50983388565465,25.620165575193028,25.181134398016813,25.245494842529297,107730400,AAPL,-0.01071885486565427,25.646357345581055,26.423070240020753,0.009189774789768524,-0.00901403832452774
2016-11-04,24.946675032758666,25.342034030192046,24.850134371624602,25.01793098449707,123348000,AAPL,-0.00901403832452774,25.448717498779295,26.36977243423462,0.00930819027106541,0.014425231048805998
2016-11-07,25.302966267236577,25.40180604772153,25.160452565188898,25.378820419311523,130240000,AAPL,0.014425231048805998,25.331487274169923,26.311764907836913,0.008994430022283782,0.005886901595099969
2016-11-08,25.35582822681413,25.67993131308819,25.215613640315656,25.528223037719727,97016800,AAPL,0.005886901595099969,25.33789978027344,26.258368968963623,0.009127148343414063,-0.0016206493939356914
2016-11-09,25.256990967873747,25.587989598793193,24.83634892038631,25.48685073852539,236705600,AAPL,-0.0016206493939356914,25.3314640045166,26.19101266860962,0.008758354609594983,-0.02786831756152497
2016-11-10,25.535110979394688,25.535110979394688,24.326050326673702,24.776575088500977,228538000,AAPL,-0.02786831756152497,25.23768005371094,26.0922589302063,0.010433215862417215,0.005937770423094957
